Tab.0.3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Bevölkerung, Schüler/-innen und Studierende nach Geschlecht, Alter und Bildungsbereichen 2012;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Bevölkerung 1);"Schüler/
-innen und Studierende";Vorschul-bereich;Primar-bereich;Sekundarbereich I;;;;;Sekundarbereich II;;;;Tertiärbereich;;Sonder-bereich
;;;;Vorklasse 2);Grundschule 3);Hauptschule 4);"Freie 
Waldorf-schule";Integrierte Gesamt-schule;Realschule 5);Gymnasium 6);Gymnasium 7);Berufs-schule 8);Berufs-fachschule;Fachgym-nasium 9);Fachschule 10);Hochschule;Förder-schule
Alter;Geschlecht;Anzahl;;Anteile (%);;;;;;;;;;;;;
;männlich;460253;255147;-;-;0,0;-;-;0,3;-;0,7;21,8;2,1;2,3;2,3;25,9;0,1
;weiblich;440586;256661;-;-;0,0;-;-;0,2;-;0,7;17,6;3,5;1,7;6,3;28,3;0,1
22 Jahre;insgesamt;994836;471770;-;-;0,0;-;-;0,2;-;0,5;13,2;1,8;1,2;3,8;26,8;-
;männlich;508269;239460;-;-;0,0;-;-;0,2;-;0,5;14,9;1,4;1,3;2,7;26,2;-
;weiblich;486567;232310;-;-;0,0;-;-;0,2;-;0,5;11,5;2,3;1,0;4,9;27,4;-
23 Jahre;insgesamt;988702;403350;-;-;0,0;-;-;0,1;-;0,5;8,5;1,6;0,7;3,1;26,2;-
;männlich;504166;209149;-;-;0,0;-;-;0,1;-;0,5;10,1;1,2;0,8;2,7;26,1;-
;weiblich;484536;194201;-;-;0,0;-;-;0,1;-;0,5;7,0;2,0;0,6;3,5;26,4;-
24 Jahre;insgesamt;1019264;353228;-;-;0,0;-;-;0,1;-;0,4;6,3;0,8;0,5;2,4;24,2;-
;männlich;520678;188965;-;-;0,0;-;-;0,1;-;0,4;7,6;0,6;0,5;2,4;24,6;-
;weiblich;498586;164263;-;-;0,0;-;-;0,1;-;0,4;4,9;1,0;0,4;2,4;23,8;-
25 Jahre;insgesamt;1003231;352917;-;-;0,0;-;-;0,1;-;0,3;11,0;0,5;0,3;1,9;21,0;-
;männlich;512705;198540;-;-;0,0;-;-;0,1;-;0,4;13,4;0,4;0,3;2,0;22,2;-
;weiblich;490526;154377;-;-;0,0;-;-;0,1;-;0,3;8,5;0,7;0,2;1,8;19,8;-
26 Jahre;insgesamt;993085;219228;-;-;0,0;-;-;0,0;-;0,3;0,0;2,8;0,2;1,5;17,3;-
;männlich;504863;112963;-;-;0,0;-;-;0,0;-;0,3;0,0;1,4;0,2;1,6;18,8;-
;weiblich;488222;106265;-;-;0,0;-;-;0,0;-;0,3;0,0;4,2;0,2;1,3;15,7;-
27 Jahre;insgesamt;973500;148641;-;-;0,0;-;-;0,0;-;0,2;0,0;-;0,1;1,2;13,7;-
;männlich;492762;83896;-;-;0,0;-;-;0,0;-;0,2;0,0;-;0,1;1,4;15,2;-
;weiblich;480738;64745;-;-;0,0;-;-;0,0;-;0,2;0,0;-;0,1;1,0;12,1;-
28 Jahre;insgesamt;978143;118294;-;-;0,0;-;-;0,0;-;0,2;-;-;0,1;1,0;10,8;-
;männlich;495013;67613;-;-;0,0;-;-;0,0;-;0,2;-;-;0,1;1,1;12,2;-
;weiblich;483130;50681;-;-;0,0;-;-;0,0;-;0,2;-;-;0,1;0,9;9,4;-
29 Jahre;insgesamt;990296;109632;-;-;0,0;-;-;0,0;-;0,1;-;-;0,1;2,3;8,6;-
;männlich;500542;62279;-;-;0,0;-;-;0,0;-;0,1;-;-;0,1;2,4;9,8;-
;weiblich;489754;47353;-;-;0,0;-;-;0,0;-;0,1;-;-;0,1;2,1;7,3;-
30 Jahre;insgesamt;1018907;85926;-;-;0,0;-;-;0,1;-;0,4;-;-;0,1;1,0;6,7;-
;männlich;515560;48045;-;-;0,0;-;-;0,1;-;0,4;-;-;0,1;0,9;7,9;-
;weiblich;503347;37881;-;-;0,0;-;-;0,1;-;0,5;-;-;0,2;1,2;5,6;-
;;;;;;;;;;;;;;;;;
"Quelle: Statistisches Bundesamt (GENESIS-Online Datenbank; Fachserie 11 Reihe 1, Fachserie 11 Reihe 2, Fachserie 11 Reihe 4.1); Bundesministerium für Bildung und Forschung, Berechnungen";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Anmerkungen:;;;;;;;;;;;;;;;;;
"1) Am 31.12.; vorläufige Bevölkerungszahlen auf Grundlage des Zensus 2011.";;;;;;;;;;;;;;;;;
2) Einschließlich Schulkindergarten.;;;;;;;;;;;;;;;;;
3) Einschließlich Klassenstufen 1 bis 4 der Integrierten Gesamtschule und Freien Waldorfschule.;;;;;;;;;;;;;;;;;
4) Einschließlich schulartunabhängige Orientierungsstufe und Integrierte Klassen für Haupt- und Realschüler sowie Abendhauptschule.;;;;;;;;;;;;;;;;;
5) Einschließlich Abendrealschule.;;;;;;;;;;;;;;;;;
6) Klassenstufe 5 bis 10.;;;;;;;;;;;;;;;;;
7) Klassenstufe 11 bis 13. Einschließlich Jahrgangsstufen 11 bis 13 der Integrierten Gesamtschule, Freien Waldorfschule sowie Abendgymnasium und Kolleg.;;;;;;;;;;;;;;;;;
8) Einschließlich Berufsvorbereitungs- und -grundbildungsjahr sowie Berufsaufbauschule.;;;;;;;;;;;;;;;;;
9) Einschließlich Berufs-/Technische Oberschule, Fachoberschule, Kollegschule Nordrhein-Westfalen sowie Fachakademie.;;;;;;;;;;;;;;;;;
10) Einschließlich Schulen des Gesundheitswesens.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
- = Daten nicht vorhanden.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Auswertung aus der ICE - Datenbank des BMBF (ICE = Information, Controlling, Entscheidung);;;;;;;;;;;;;;;;;
Ein System des Deutschen Zentrums für Hochschul- und Wissenschaftsforschung (DZHW), http://www.dzhw.eu;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Letzte Aktualisierung: 05/2014;;;;;;;;;;;;;;;;;
